SEURAT,SC3
24,4
24,8
24,4
33,30
17,7
26,6
24,4
23,9
24,4
7,10
24,12
24,12
25,13
25,2
16,24
24,4
6,10
32,27
24,4
11,11
26,6
33,20
24,2
7,30
24,12
27,6
24,8
24,8
24,1
26,6
24,24
24,4
30,29
14,23
8,23
24,4
26,6
31,2
22,23
24,4
26,6
34,4
24,4
34,26
3,5
20,4
24,1
26,12
33,6
25,28
3,5
17,7
12,11
12,39
34,15
24,8
26,6
26,6
37,17
35,30
7,30
22,18
35,30
20,12
24,8
33,12
24,4
24,4
23,9
25,13
33,20
32,27
34,15
7,10
33,20
37,17
33,20
24,4
25,13
25,1
24,4
24,4
22,18
25,13
24,4
28,14
8,23
16,24
24,4
15,18
24,4
22,17
29,29
23,9
24,8
24,8
24,4
25,4
19,12
28,3
25,13
25,13
25,13
25,13
25,4
24,4
34,15
26,6
26,12
25,13
24,4
25,13
24,4
24,4
33,20
3,5
26,6
24,4
25,4
3,5
24,8
24,8
24,4
24,1
24,4
21,22
24,4
24,8
26,6
24,8
26,6
24,4
9,19
3,5
7,10
24,1
30,1
26,6
34,15
25,13
30,29
30,29
2,31
27,12
24,4
24,4
33,20
28,14
25,13
24,8
16,24
26,6
14,23
24,4
33,20
24,4
23,12
25,13
25,13
34,26
25,1
3,5
24,4
24,8
24,4
34,15
28,14
24,8
27,6
24,4
24,4
26,6
31,2
9,19
34,26
24,8
1,17
26,6
25,4
16,24
24,4
7,10
28,12
25,13
24,4
17,7
24,8
24,1
27,21
31,2
25,1
25,4
28,14
25,13
25,4
25,13
29,25
24,8
23,30
24,8
24,8
31,2
26,37
37,17
26,6
23,7
8,23
26,6
34,3
25,4
25,13
25,13
25,13
25,13
24,8
24,4
24,8
24,8
3,5
21,3
9,19
1,17
24,8
26,6
24,4
28,14
24,8
24,4
33,20
33,20
33,20
33,20
2,31
2,31
2,31
2,31
28,1
17,7
25,13
17,7
24,30
24,4
8,23
22,18
24,4
5,23
24,4
24,4
25,38
34,15
24,4
24,4
24,4
24,8
25,13
24,4
34,26
34,15
3,5
25,1
34,15
24,8
7,10
27,4
24,8
24,4
23,9
6,36
21,22
24,4
26,6
33,20
26,6
24,4
10,11
37,17
24,8
24,8
35,30
26,6
11,11
27,37
29,25
31,2
30,29
24,4
33,12
24,4
24,8
34,26
26,6
33,29
24,12
25,13
24,8
21,12
17,7
34,15
25,13
33,20
24,4
25,4
24,4
26,6
24,8
29,12
24,4
24,30
24,8
34,15
24,30
8,23
24,8
24,4
24,8
24,4
24,4
9,19
24,8
1,17
24,8
24,4
26,6
34,26
24,4
24,8
30,29
