ARI,Dataset,Fraction
0.8392765,Deng,50
0.9625081,Deng,50
0.9191114,Deng,50
0.9283033,Deng,50
0.9093965,Deng,50
0.8974847,Deng,50
0.912566,Deng,50
0.9144757,Deng,50
0.7731181,Deng,50
0.9150723,Deng,50
0.7858951,Deng,50
0.8734394,Deng,50
0.9640333,Deng,50
0.805198,Deng,50
0.8661768,Deng,50
0.8086916,Deng,50
0.8841498,Deng,50
0.916744,Deng,50
0.9359699,Deng,50
0.7874365,Deng,50
0.8996902,Deng,50
0.9157899,Deng,50
0.9779599,Deng,50
0.7451804,Deng,50
0.9390509,Deng,50
0.9236861,Deng,50
0.8990357,Deng,50
0.8945475,Deng,50
0.9458933,Deng,50
0.8533802,Deng,50
0.9283156,Deng,50
0.9149551,Deng,50
0.9199427,Deng,50
0.9623787,Deng,50
0.8959835,Deng,50
0.7586382,Deng,50
0.9112621,Deng,50
0.9007299,Deng,50
0.9352097,Deng,50
0.8578028,Deng,50
0.9127925,Deng,50
0.8572853,Deng,50
0.9760634,Deng,50
0.8125027,Deng,50
0.8435474,Deng,50
0.9610359,Deng,50
0.8828054,Deng,50
0.9290112,Deng,50
0.8999648,Deng,50
0.9505386,Deng,50
0.9244177,Deng,50
0.9576654,Deng,50
0.6791023,Klein,1
0.5178335,Klein,1
0.6609793,Klein,1
0.5033678,Klein,1
0.5590309,Klein,1
0.4724803,Klein,1
0.4932705,Klein,1
0.4327562,Klein,1
0.6384899,Klein,1
0.729115,Klein,1
0.4930126,Klein,1
0.6591319,Klein,1
0.8646893,Klein,1
0.7006209,Klein,1
0.4366441,Klein,1
0.6448286,Klein,1
0.4634261,Klein,1
0.5018129,Klein,1
0.4907547,Klein,1
0.6717415,Klein,1
0.6187936,Klein,1
0.5651242,Klein,1
0.6314017,Klein,1
0.5769491,Klein,1
0.6025778,Klein,1
0.3999945,Klein,1
0.821936,Klein,1
0.7844627,Klein,1
0.6358164,Klein,1
0.6324835,Klein,1
0.5190606,Klein,1
0.7258011,Klein,1
0.6770352,Klein,1
0.5081754,Klein,1
0.527236,Klein,1
0.7562999,Klein,1
0.4931368,Klein,1
0.5340739,Klein,1
0.4557336,Klein,1
0.5757985,Klein,1
0.652768,Klein,1
0.6140254,Klein,1
0.6894549,Klein,1
0.5456794,Klein,1
0.6201442,Klein,1
0.4450647,Klein,1
0.6640582,Klein,1
0.5374426,Klein,1
0.69098,Klein,1
0.4392921,Klein,1
0.529091,Klein,1
0.636052,Klein,1
0.5277181,Klein,1
0.4842432,Klein,1
0.6697711,Klein,1
0.6724411,Klein,1
0.6825826,Klein,1
0.5117955,Klein,1
0.5906185,Klein,1
0.3989506,Klein,1
0.6499478,Klein,1
0.5107959,Klein,1
0.6821053,Klein,1
0.7407009,Klein,1
0.637377,Klein,1
0.6759257,Klein,1
0.6738361,Klein,1
0.7774943,Klein,1
0.6844876,Klein,1
0.4217581,Klein,1
0.7282229,Klein,1
0.7884793,Klein,1
0.6804321,Klein,1
0.5959464,Klein,1
0.5446062,Klein,1
0.7726311,Klein,1
0.6667296,Klein,1
0.7272087,Klein,1
0.5348193,Klein,1
0.6323593,Klein,1
0.4347566,Klein,1
0.4844851,Klein,1
0.8122492,Klein,1
0.6245232,Klein,1
0.675787,Klein,1
0.5039783,Klein,1
0.7018869,Klein,1
0.7090075,Klein,1
0.5903259,Klein,1
0.6764145,Klein,1
0.6984521,Klein,1
0.5753917,Klein,1
0.7977557,Klein,1
0.6879716,Klein,1
0.6074855,Klein,1
0.6293642,Klein,1
0.7213996,Klein,1
0.7971711,Klein,1
0.4834477,Klein,1
0.5022324,Klein,1
0.9504064,Klein,10
0.9467775,Klein,10
0.9458392,Klein,10
0.9651838,Klein,10
0.9641123,Klein,10
0.9515966,Klein,10
0.9629952,Klein,10
0.9557646,Klein,10
0.9407664,Klein,10
0.9287491,Klein,10
0.9613124,Klein,10
0.9369554,Klein,10
0.9521128,Klein,10
0.9432485,Klein,10
0.9278377,Klein,10
0.9487819,Klein,10
0.9557594,Klein,10
0.9426406,Klein,10
0.9393048,Klein,10
0.94712,Klein,10
0.947713,Klein,10
0.9653169,Klein,10
0.9656008,Klein,10
0.9321233,Klein,10
0.9602765,Klein,10
0.9222771,Klein,10
0.953036,Klein,10
0.9533386,Klein,10
0.9471692,Klein,10
0.958505,Klein,10
0.9359814,Klein,10
0.960476,Klein,10
0.9588463,Klein,10
0.949712,Klein,10
0.9502693,Klein,10
0.9580755,Klein,10
0.9545532,Klein,10
0.9609638,Klein,10
0.9645959,Klein,10
0.9478241,Klein,10
0.9383219,Klein,10
0.9541447,Klein,10
0.9309439,Klein,10
0.9593978,Klein,10
0.9611884,Klein,10
0.9503228,Klein,10
0.947993,Klein,10
0.9387474,Klein,10
0.9376736,Klein,10
0.9231462,Klein,10
0.9512331,Klein,10
0.9586652,Klein,10
0.9597867,Klein,10
0.9611174,Klein,10
0.951247,Klein,10
0.9600464,Klein,10
0.9565118,Klein,10
0.9267935,Klein,10
0.9466927,Klein,10
0.9473262,Klein,10
0.95325,Klein,10
0.9495594,Klein,10
0.9077465,Klein,10
0.9566613,Klein,10
0.9369005,Klein,10
0.9457168,Klein,10
0.9672996,Klein,10
0.9704326,Klein,10
0.9689396,Klein,10
0.9472809,Klein,10
0.944745,Klein,10
0.9207768,Klein,10
0.9021892,Klein,10
0.9536083,Klein,10
0.9831489,Klein,10
0.9538499,Klein,10
0.9674492,Klein,10
0.961214,Klein,10
